,name,development,increase,population,latitude,longitude
0,Lima,0.08067220134568986,1.0,0.1999450951683748,-12.0621065,-77.0365256
1,Dhaka,0.06342213751599331,0.9600411690480921,0.5486822840409956,23.7644025,90.389015
2,Toronto,0.7495576459320853,0.9379210314484033,0.055606393362615913,43.6534817,-79.3839347
3,Central Singapore,0.6424427978490639,0.9235426907875801,0.04727916056612982,1.2899175,103.8519072
4,Surat,0.02698490470269857,0.7971024082538454,0.10047584187408493,45.9383,3.2553
5,Hefei,0.069600593569339,0.7868003511588226,0.00018301610541727673,31.8228094,117.2218033
6,Chittagong,0.018735444388630933,0.7612577067164576,0.023273548072230355,22.3336887,91.8342162
7,Wuhan,0.0790975693241781,0.7494252534002656,0.12512201073694484,30.5951051,114.2999353
8,Ahmadabad,0.03000053259435255,0.7483138903658614,0.12079062957540264,23.0216238,72.5797068
9,Nairobi,0.1608908593212114,0.7482847405473629,0.01918618838457784,-1.30325275,36.826367685558694
10,Addis Ababa,0.1378288555106144,0.7250283803153961,0.022510980966325037,9.0107934,38.7612525
11,Sankt-peterburg,0.46676450727687036,0.7176048687527093,0.03190580771107857,59.938732,30.316229
12,Chengdu,0.06475185940455733,0.7116890198635523,0.1521778916544656,30.6598628,104.0633717
13,Abidjan,0.0757852071628232,0.6935973087450236,0.03129575402635432,5.320357,-4.016107
14,Mexico,0.1066678566861677,0.6864823840646402,0.536694729136164,23.6585116,-102.0077097
15,Beijing Shi,0.07611590651158007,0.6773836283656665,0.513756710590532,39.906217,116.3912757
16,Khartoum,0.2625266251980808,0.6578902190224898,0.05093948267447535,15.5635972,32.5349123
17,Baghdad,0.45360020141511015,0.6303891069911638,0.09217911176183505,33.3061701,44.3872213
18,Philadelphia,0.6587186446031412,0.6259794136071455,0.038616398243045386,39.9527237,-75.1635262
19,Jinan,0.046876772381368274,0.6218825938546652,0.0357796486090776,36.6507007,117.1140042
20,Dki Jakarta,0.31571050458707706,0.6118923643054193,0.2008601756954612,-6.1753942,106.827183
21,Los Angeles,0.15924154795168496,0.5907352256732252,0.24396046852122988,34.0536909,-118.242766
22,Cairo,1.0,0.5889731247320301,0.5264763299170327,30.0443879,31.2357257
23,Changsha,0.035120921652719274,0.5855344025899029,0.009760858955588092,28.1450774,113.2384362
24,Hangzhou,0.040649231310548165,0.5809039108397067,0.10843704245973645,30.2489634,120.2052342
25,Houston,0.019422152548279913,0.5647076729130985,0.06445217179111762,29.7589382,-95.3676974
26,Hyderabad,0.5429950404520257,0.5561442596877797,0.1843582235236701,17.360589,78.4740613
27,Tianjin Shi,0.10755790610459079,0.5555856536996814,0.29044655929721813,39.3032619,117.4163641
28,Tookyoo,0.3427924179381503,0.542052721592609,1.0,35.6828387,139.7594549
29,Guadalajara,0.2546720253627544,0.5368749140214601,0.02592728160078087,20.6720375,-103.338396
30,Paris,0.6862058051732607,0.5365479616279621,0.20290385553928747,48.8588897,2.3200410217200766
31,Delhi,0.2854401687437718,0.5352070874832743,0.8411420204978038,28.6517178,77.2219388
32,Qingdao,0.046720752147253124,0.5264361307133396,0.041941190824792585,36.0638034,120.3781372
33,Nanjing,0.08887193021013329,0.5232336475487674,0.15065275744265497,32.0615652,118.7915079
34,Santiago,0.04186347193032189,0.5173511517135106,0.07219985358711567,9.8694792,-83.7980749
35,Luanda,0.5961015451996371,0.5103327962930307,0.13610297706198146,-8.8272699,13.2439512
36,Tehran,0.24233300518319156,0.5103198919369181,0.14921913128355296,35.6892523,51.3896004
37,Monterrey,0.16457715509001825,0.5063857498183549,0.016684968277208393,25.6802019,-100.315258
38,Zhengzhou,0.06615901071689183,0.5037773181349343,0.036603221083455345,34.7487244,113.6191483
39,Buenos Aires,0.11892321320648172,0.5023043275191061,0.33186920448999513,-34.6075682,-58.4370894
40,Miami,0.023255462327013525,0.4958967709527939,0.05261713030746706,25.7741728,-80.19362
41,Kunming,0.018663602768189007,0.4950006091543898,0.0050939482674475355,24.8843019,102.8324209
42,Kuala Lumpur,0.5134997877127777,0.48729995667512144,0.11987554904831625,3.1516964,101.6942371
43,New York,0.9682946395665802,0.48169641288082177,0.43853709126403123,40.7127281,-74.0060152
44,Shanghai Shi,0.195679668239626,0.4808814970548774,0.7328879941434846,31.2322758,121.4692071
45,Suzhou,0.08325160805749407,0.47720032371695087,0.09986578818936066,31.3016935,120.5810725
46,Dalian,0.022331688872031012,0.47372406594025407,0.043923865300146414,38.9181714,121.6282945
47,Hukuoka,0.05875358261736499,0.47041630798067285,0.030899219131283552,33.5898988,130.4017509
48,Guangzhou,0.11112102915767272,0.46946594966686267,0.28901293313811616,23.1301964,113.2592945
49,Shantou,0.11609152265263148,0.4619515239577099,0.0,23.356377,116.6775918
50,Foshan,0.1200564306779913,0.4574188585773048,0.09172157149829185,23.0239788,113.1159558
51,Oosaka,0.36490264353825935,0.45586140772061656,0.4444241093216203,34.1651738,134.4551253
52,Lagos,0.11377453452420452,0.45178902561222173,0.3324182528062469,6.4550575,3.3941795
53,Barcelona,0.03940086126456175,0.4434118471891342,0.035627135187896536,41.3828939,2.1774322
54,Seoul,0.5468638053907029,0.44340726111138634,0.16733772571986336,37.5666791,126.9782914
55,Dongguan,0.2374491007268713,0.4348461752122383,0.09217911176183505,23.0205969,113.7457788
56,Ankara,0.0899045343522974,0.4304618646523489,0.025012201073694486,39.9207886,32.8540482
57,Chongqing Shi,0.017275603377851216,0.43016694108692133,0.3777757442654954,29.5647398,106.5478767
58,Calcutta,0.0,0.4241264207557966,0.3246705710102489,22.5726723,88.3638815
59,Brasilia,0.07570055742063404,0.40420479213236415,0.009577842850170815,-10.3333333,-53.2
60,Yangon,0.08298050098776477,0.39057952633670656,0.031234748657881894,16.7967129,96.1609916
61,Shenyang,0.03266240870940008,0.38395725827466737,0.09266715470961445,41.6749893,123.458674
62,Shenzhen,0.2704228706029206,0.37764818865414884,0.2544228892142509,22.5445741,114.0545429
63,Madrid,0.08697141968979519,0.37653995796980577,0.06783796974133724,40.4167047,-3.7035825
64,Sao Paulo,0.31083703069697005,0.3523430976255497,0.5472181551976574,-23.5506507,-46.6333824
65,Istanbul,0.5702403806157437,0.3496191389527247,0.3399829184968277,41.0091982,28.9662187
66,Alexandria,0.514214095238279,0.3475149771833452,0.03031966813079551,38.8051095,-77.0470229
67,Ho Chi Minh City,0.28598252531743296,0.3374317586992799,0.13991581259150807,10.7758439,106.7017555
68,Kinshasa,0.006825709938904164,0.30035952472863897,0.339738897022938,-4.3217055,15.3125974
69,Changchun,0.024635682618599785,0.294573383618951,0.0038433382137628112,43.8130735,125.3171216
70,Belo Horizonte,0.3502850595955112,0.2507529722861706,0.05197657393850659,-19.9227318,-43.9450948
71,Moskva,0.9827889083594009,0.15281854055524274,0.24862737920937042,55.7504461,37.6174943
72,Bangkok,0.29478505763978,0.0,0.19552220595412395,13.7524938,100.4935089
